ID,Storm_Name,Year,Tier,Overall,Category,peak_wind_mph,min_pressure_mb,ace,duration_hours,fatalities,wind_pct,pres_pct,ace_pct,dur_pct,fat_pct,image_url
AL081908,Hurricane Eight,1908,Gold,80,2,109,,30.8,390,,80.8,77.3,95.1,98.4,50,https://upload.wikimedia.org/wikipedia/commons/7/76/Hurricane_Eight_surface_analysis_October_02%2C_1908.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL051923,Hurricane Five,1923,Gold,80,3,121,,22.18,240,,87.4,86.7,88.7,85.9,50,https://upload.wikimedia.org/wikipedia/commons/3/34/Hurricane_Five_analysis_30_Sept_1923.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL021926,Hurricane Two,1926,Gold,80,3,121,,26.41,210,,88.3,86.3,91.9,81.2,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/Nova_Scotia_hurricane_%28Hurricane_Two%29_weather_analysis_August_5%2C_1926.jpg/1280px-Nova_Scotia_hurricane_%28Hurricane_Two%29_weather_analysis_August_5%2C_1926.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL021932,Hurricane Two,1932,Gold,80,4,150,935,6.63,66,,96.5,95.6,60,36.3,50,https://upload.wikimedia.org/wikipedia/commons/9/9f/Freeport_hurricane_weather_map%2C_August_13%2C_1932.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL061937,Hurricane Six,1937,Gold,80,3,127,951,22.09,180,,89.3,89.8,88.6,74.2,50,https://upload.wikimedia.org/wikipedia/commons/9/9d/Hurricane_Six_surface_analysis_15_September_1937.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL041943,Hurricane Four,1943,Gold,80,3,121,,27.79,210,,86.5,86.4,93.3,80.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/78/Hurricane_Four_surface_analysis_1943.jpg/1280px-Hurricane_Four_surface_analysis_1943.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL031948,Hurricane Three,1948,Gold,80,3,121,,22.52,246,,88.1,86.1,89,86.9,50,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/14/Hurricane_Three_%28Able%29_weather_map%2C_August_29%2C_1948.jpg/1280px-Hurricane_Three_%28Able%29_weather_map%2C_August_29%2C_1948.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail
AL111950,KING,1950,Gold,80,4,132,955,9.74,114,11,91.3,88.5,70.3,55.7,44.2,https://upload.wikimedia.org/wikipedia/commons/a/af/King_1950-10-18_weather_map.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
AL091951,HOW,1951,Gold,80,2,98,963,20.11,264,276,73.5,82.7,86.5,89.1,87.4,https://upload.wikimedia.org/wikipedia/commons/1/17/How_1951-10-05_weather_map.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
AL061954,CAROL,1954,Gold,80,3,115,955,14.47,150,72,84.4,88.4,79.8,67.3,73.6,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/ff/Hurricane_Carol_weather_map_%28high_quality%29%2C_August_31%2C_1954.jpg/1280px-Hurricane_Carol_weather_map_%28high_quality%29%2C_August_31%2C_1954.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail
